titre,url_fiche,annee_sortie,id_imdb,id_moviedb_final,budget
L'Âge d'Or,https://www.imdb.com/title/tt9091118/?ref_=adv_li_tt,2019,tt9091118,710731,0
Noise,https://www.imdb.com/title/tt9378600/?ref_=adv_li_tt,2019,tt9378600,648627,0
Fragments,https://www.imdb.com/title/tt9913418/?ref_=adv_li_tt,2019,tt9913418,-,-
Beaux-parents,https://www.imdb.com/title/tt8600414/?ref_=adv_li_tt,2019,tt8600414,593475,0
Sem Seu Sangue,https://www.imdb.com/title/tt10222752/?ref_=adv_li_tt,2019,tt10222752,597107,0
French Touch: Mixed Feelings,https://www.imdb.com/title/tt10887424/?ref_=adv_li_tt,2019,tt10887424,626972,0
Sur la peau,https://www.imdb.com/title/tt10122334/?ref_=adv_li_tt,2019,tt10122334,609507,0
Republique: The Interactive,https://www.imdb.com/title/tt10590338/?ref_=adv_li_tt,2019,tt10590338,-,-
Vagabondes,https://www.imdb.com/title/tt10869858/?ref_=adv_li_tt,2019,tt10869858,710740,0
Mirage,https://www.imdb.com/title/tt10199588/?ref_=adv_li_tt,2019,tt10199588,645443,0
Debout sur la montagne,https://www.imdb.com/title/tt10384908/?ref_=adv_li_tt,2019,tt10384908,612655,0
French Frights,https://www.imdb.com/title/tt18070908/?ref_=adv_li_tt,2019,tt18070908,-,-
Le Corps sauvage,https://www.imdb.com/title/tt8710100/?ref_=adv_li_tt,2019,tt8710100,582027,0
Les particules,https://www.imdb.com/title/tt8302982/?ref_=adv_li_tt,2019,tt8302982,582926,0
Terminal Sud,https://www.imdb.com/title/tt10292050/?ref_=adv_li_tt,2019,tt10292050,592776,0
Les enfants d'Isadora,https://www.imdb.com/title/tt10444992/?ref_=adv_li_tt,2019,tt10444992,589745,230000
Soumaya,https://www.imdb.com/title/tt11373998/?ref_=adv_li_tt,2019,tt11373998,664360,0
Les municipaux: Trop c'est trop,https://www.imdb.com/title/tt9169966/?ref_=adv_li_tt,2019,tt9169966,613317,0
La bataille du rail,https://www.imdb.com/title/tt11832346/?ref_=adv_li_tt,2019,tt11832346,786929,0
Jeunesse sauvage,https://www.imdb.com/title/tt7358122/?ref_=adv_li_tt,2019,tt7358122,611619,0
Les beaux menteurs,https://www.imdb.com/title/tt9679234/?ref_=adv_li_tt,2019,tt9679234,591015,0
Vortex,https://www.imdb.com/title/tt10556354/?ref_=adv_li_tt,IV 2019,tt10556354,709531,0
Jeunes et courts!,https://www.imdb.com/title/tt11043910/?ref_=adv_li_tt,2019,tt11043910,643541,0
Junk Love,https://www.imdb.com/title/tt9428050/?ref_=adv_li_tt,2019,tt9428050,591037,0
